model,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,representation_normalized_l2
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,35,baseline,35,35,0000000035.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,35,baseline,35,35,0000000035.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,35,baseline,35,35,0000000035.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,35,baseline,35,35,0000000035.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,35,baseline,35,35,0000000035.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,36,baseline,36,36,0000000036.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,36,baseline,36,36,0000000036.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,36,baseline,36,36,0000000036.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,36,baseline,36,36,0000000036.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,36,baseline,36,36,0000000036.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,37,baseline,37,37,0000000037.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,37,baseline,37,37,0000000037.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,37,baseline,37,37,0000000037.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,37,baseline,37,37,0000000037.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,37,baseline,37,37,0000000037.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,38,baseline,38,38,0000000038.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,38,baseline,38,38,0000000038.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,38,baseline,38,38,0000000038.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,38,baseline,38,38,0000000038.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,38,baseline,38,38,0000000038.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,39,baseline,39,39,0000000039.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,39,baseline,39,39,0000000039.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,39,baseline,39,39,0000000039.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,39,baseline,39,39,0000000039.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,39,baseline,39,39,0000000039.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,40,disturbance,0,40,0000000040.png,1,0.7956117391586304
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,40,disturbance,0,40,0000000040.png,2,0.9083667397499084
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,40,disturbance,0,40,0000000040.png,3,0.8659496307373047
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,40,disturbance,0,40,0000000040.png,4,0.9081246256828308
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,40,disturbance,0,40,0000000040.png,5,0.9788037538528442
