drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,3,24,32,-0.13125375378876925,0.40274064242839813,0.0007411424594465643,1.5,-0.11513437330722809,-0.016119380481541157,0.4120994582772255,0.01090652181301266,-0.009358815848827362,-0.010165379353566095
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,4,32,40,-0.1284042107872665,0.2983591631054878,0.0018620358823682182,1.5,-0.12714447267353535,-0.0012597381137311459,0.3057892695069313,0.009393718733917922,-0.0074301064014434814,-0.007531682851549704
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,5,40,48,-0.06067195162177086,0.1855703815817833,0.0032510994060430676,2.25,-0.12376490281894803,0.06309295119717717,0.17990320920944214,0.003640879731392488,0.005667172372341156,-0.0003897803253494203
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,6,48,56,-0.08020536974072456,0.04629121720790863,0.002423255005851388,2.25,-0.12120965030044317,0.04100428055971861,0.03697559982538223,0.004546119598671794,0.009315617382526398,-0.002122864592820406
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,7,56,64,-0.07090430887183174,0.11487208306789398,0.0018620746704982594,2.625,-0.06323780352249742,-0.007666505349334329,0.11497262865304947,0.002935448384960182,-0.00010054558515548706,-0.0010733737144619226
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,8,64,72,-0.04930579289793968,0.2325778603553772,0.00162581613403745,3.0,-0.025090146926231682,-0.024215645971708,0.22420715540647507,0.007791297801304609,0.00837070494890213,-0.006165481667267159
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,9,72,80,-0.2121865851804614,0.3352104090154171,0.002534254264901392,3.0,-0.12967811455018818,-0.08250847063027322,0.3145146183669567,0.0075528055895119905,0.020695790648460388,-0.005018551324610598
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,0,0,8,-0.15574549324810505,0.5727252662181854,0.001799784367904067,1.5,-0.17645599506795406,0.020710501819849014,0.583598904311657,0.010932362638413906,-0.010873638093471527,-0.009132578270509839
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,1,8,16,-0.19679566100239754,0.5554975643754005,0.001540851138997823,1.5,-0.21284704003483057,0.016051379032433033,0.563225269317627,0.010162511258386075,-0.00772770494222641,-0.008621660119388252
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,2,16,24,-0.1537947948090732,0.5162894949316978,0.0036269903648644686,1.875,-0.1450523491948843,-0.00874244561418891,0.5247536897659302,0.008225501398555934,-0.00846419483423233,-0.004598511033691466
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,3,24,32,-0.10395477898418903,0.4100542739033699,0.002863244357286021,2.25,-0.11513437330722809,0.011179594323039055,0.4120994582772255,0.01090652181301266,-0.002045184373855591,-0.008043277455726638
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,4,32,40,-0.12291971931699663,0.29601242393255234,0.004376158118247986,2.25,-0.12714447267353535,0.004224753356538713,0.3057892695069313,0.009393718733917922,-0.009776845574378967,-0.005017560615669936
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,5,40,48,-0.04052737297024578,0.18365679681301117,0.004074995522387326,3.0,-0.12376490281894803,0.08323752984870225,0.17990320920944214,0.003640879731392488,0.0037535876035690308,0.0004341157909948379
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,6,48,56,-0.047051943838596344,0.04634230583906174,0.0027300204237690195,3.0,-0.12120965030044317,0.07415770646184683,0.03697559982538223,0.004546119598671794,0.009366706013679504,-0.0018160991749027744
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,7,56,64,-0.06815180159173906,0.1109481006860733,0.0019268663600087166,1.875,-0.06323780352249742,-0.004913998069241643,0.11497262865304947,0.002935448384960182,-0.004024527966976166,-0.0010085820249514654
