method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,9,0000000007.png,0000000008.png,0000000009.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.08167184889316559,0.07218631356954575,0.009485535323619843,0.11614204198122025,0.07218631356954575,0.3928571343421936,0.44001349806785583,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,6,0000000004.png,0000000005.png,0000000006.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.06177647039294243,0.05831282213330269,0.00346364825963974,0.056067436933517456,0.05259505659341812,0.2142857164144516,0.2142857164144516,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,7,0000000005.png,0000000006.png,0000000007.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.058571308851242065,0.05569230020046234,0.002879008650779724,0.04915390536189079,0.04832135885953903,0.2602040767669678,0.2857142686843872,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,8,0000000006.png,0000000007.png,0000000008.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.0736858993768692,0.07216580212116241,0.0015200972557067871,0.02062941901385784,0.06152436509728432,0.12755101919174194,0.13775509595870972,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,9,0000000007.png,0000000008.png,0000000009.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.08167184889316559,0.07586068660020828,0.005811162292957306,0.07115257531404495,0.06754642724990845,0.23979590833187103,0.25,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,8,0000000004.png,0000000005.png,0000000008.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.1484358012676239,0.09989479184150696,0.04854100942611694,0.3270168602466583,0.09989481419324875,0.8163264989852905,0.8416865468025208,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,9,0000000005.png,0000000006.png,0000000009.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.1469687968492508,0.09945569187402725,0.04751310497522354,0.3232870101928711,0.09945569187402725,0.8010203838348389,0.8284937143325806,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,10,0000000006.png,0000000007.png,0000000010.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.11854223161935806,0.08122944831848145,0.03731278330087662,0.3147636353969574,0.08122945576906204,0.7346938848495483,0.7727338671684265,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,11,0000000007.png,0000000008.png,0000000011.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.17404671013355255,0.11437048763036728,0.05967622250318527,0.34287476539611816,0.11437048017978668,0.7551020383834839,0.8079354166984558,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,8,0000000004.png,0000000005.png,0000000008.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.1484358012676239,0.10868257284164429,0.039753228425979614,0.2678142786026001,0.09227434545755386,0.75,0.75,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,9,0000000005.png,0000000006.png,0000000009.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.1469687968492508,0.10969509929418564,0.037273697555065155,0.2536163926124573,0.09296967834234238,0.7806122303009033,0.7806122303009033,1.0,0.0
