drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,7,56,64,1,1.875,0.09375,64.00461864471436,67.94425438308724,-0.0791975250467658,0.043262723833322525
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,8,64,72,1,2.25,0.0,47.59287118911743,54.77811700016112,-0.0335491067962721,0.02868414460681379
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,9,72,80,1,2.25,0.0,43.797282218933105,44.498937523449285,-0.22970999218523502,0.016119757667183876
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,0,0,8,0,1.875,1.21875,112.21065902709961,107.16919116509426,-0.33991562423761934,0.1214021509513259
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,1,8,16,0,1.875,0.75,102.54731178283691,104.36774066864078,-0.32969827950000763,0.1118121212348342
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,2,16,24,0,1.96875,0.84375,87.65511798858643,93.2352546467858,-0.26824516244232655,0.09008816257119179
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,3,24,32,0,1.6875,0.65625,97.74877071380615,96.5153399333078,-0.20160410180687904,0.09681050665676594
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,4,32,40,0,1.78125,0.84375,108.82786893844604,105.74233067909415,-0.27916522952727973,0.11757628433406353
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,5,40,48,0,2.15625,0.9375,97.24162340164185,91.54430432590232,-0.30394810112193227,0.08658793428912759
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,6,48,56,0,1.96875,1.03125,108.26597929000854,108.8995818875964,-0.30547749157994986,0.13605855125933886
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,7,56,64,0,1.6875,1.21875,114.18185997009277,109.07888358669985,-0.5454563926905394,0.11664676945656538
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,8,64,72,0,2.25,1.125,89.66705703735352,104.04923298679174,-0.4547764239832759,0.12136631272733212
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,0,9,72,80,0,1.5,0.84375,79.49079751968384,85.34494145392327,-0.30830032064113766,0.07241275813430548
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,0,0,8,0,1.875,1.5,124.2203893661499,112.71134068541741,-0.45916714146733284,0.13066285755485296
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,1,8,16,0,1.5,0.5625,95.59105110168457,106.63591191326798,-0.18552230391651392,0.12196618039160967
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,2,16,24,0,1.96875,1.03125,97.74624061584473,99.72587760554477,-0.39301882218569517,0.09920746367424726
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,3,24,32,0,2.4375,0.65625,79.107581615448,85.28236286489779,-0.17517092637717724,0.07576840976253152
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,4,32,40,0,1.40625,0.65625,97.09544467926025,90.85420460178881,-0.2536707802210003,0.07987173087894917
