drive,corruption,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_severity,instant_error_rms,simple_scalar_ema_error_rms,dynamic_error_state_rms,matched_tensor_ema_error_rms
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,1,8,16,1,0.5,0.9584930038589216,0.9436158085414383,0.2683618595811824,0.2683618595811824
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,2,16,24,1,0.625,0.8735433431715249,0.8996433222152765,0.25252666538209884,0.25252666538209884
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,3,24,32,1,0.75,0.9097350745348962,0.8987506133479632,0.25972314190382145,0.25972314190382145
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,4,32,40,1,0.75,0.9570815286320341,0.9412471593086448,0.2823876293817358,0.2823876293817358
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,5,40,48,1,1.0,0.8985565132021555,0.9175090646779542,0.2861955093345191,0.2861955093345191
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,6,48,56,1,1.0,0.9272297453749951,0.9164995118097866,0.29928693358935665,0.29928693358935665
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,7,56,64,1,0.625,0.9620487299169382,0.9565760269981607,0.32620915867835043,0.32620915867835043
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,8,64,72,1,0.25,0.7813445925236038,0.8520859151196628,0.29014492359452276,0.29014492359452276
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,9,72,80,1,0.25,0.7811422859787394,0.7785555814848971,0.2855027043878101,0.2855027043878101
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,0,0,8,1,0.75,0.9275027368084005,0.9294993318494331,0.25527320370608086,0.25527320370608086
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,1,8,16,1,0.75,0.9510210781105307,0.943890230738132,0.26163009804276727,0.26163009804276727
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,2,16,24,1,0.875,0.8701980280185433,0.8953663362530437,0.24619835916057778,0.24619835916057778
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,3,24,32,1,1.0,0.9074934945565027,0.8962160867575383,0.2553154491785952,0.2553154491785952
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,4,32,40,1,1.0,0.9443257367036357,0.9316100602184599,0.27601410088678396,0.27601410088678396
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,5,40,48,1,0.25,0.9084808799449856,0.9262536317299435,0.3025457408564915,0.3025457408564915
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,6,48,56,1,0.25,0.9410515335901001,0.9192177492958808,0.31874350562628295,0.31874350562628295
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,7,56,64,1,0.375,0.9494190498795894,0.9560482940804549,0.33137920184474223,0.33137920184474223
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,8,64,72,1,0.5,0.7974450930967548,0.8570806595171527,0.2848481105174002,0.2848481105174002
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,2,9,72,80,1,0.5,0.7900595174738085,0.7931763708222758,0.2754831812230314,0.2754831812230314
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,0,0,8,1,1.0,0.934408071908691,0.935908863931281,0.2524590153633622,0.2524590153633622
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,1,8,16,1,1.0,0.9399698513902466,0.9374228342977198,0.2561507637535768,0.2561507637535768
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,2,16,24,1,0.625,0.8941460952276098,0.9080926090808473,0.26004529464834375,0.26004529464834375
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,3,24,32,1,0.25,0.8966704487454996,0.8953343988773433,0.27408817847071454,0.27408817847071454
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,4,32,40,1,0.25,0.950834838282378,0.9347548610438139,0.2938989286374971,0.2938989286374971
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,5,40,48,1,0.5,0.8996089880936265,0.9157738573783938,0.29431775443434205,0.29431775443434205
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,6,48,56,1,0.5,0.9422567466540417,0.9236845800225401,0.31325118531741014,0.31325118531741014
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,7,56,64,1,0.625,0.9502602469496704,0.9552085602019756,0.3244895968195506,0.3244895968195506
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,8,64,72,1,0.75,0.803177334408872,0.8605128985063756,0.2803903771826125,0.2803903771826125
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,3,9,72,80,1,0.75,0.7920561188629149,0.7979843747296839,0.2703255528099843,0.2703255528099843
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,0,0,8,0,0.59375,1.0169409276573755,0.9824647723663742,0.25847502599606675,0.25847502599606675
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,1,8,16,0,0.75,0.9682156788497223,0.9857685836943334,0.26254000916143255,0.26254000916143255
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,2,16,24,0,0.6875,0.9873803441684422,0.9759403543770415,0.2542356649565357,0.2542356649565357
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,3,24,32,0,0.5,0.9663801074084759,0.9680287801362006,0.26834422182232226,0.26834422182232226
