drive,corruption,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_severity,future_severity,future_feature_stage,error_definition,dynamic_error_definition,temporal_error_state_update_index,dynamic_formula_max_abs,instant_error_rms,simple_scalar_ema_error_rms,matched_tensor_ema_error_rms,dynamic_error_state_rms,dynamic_minus_matched_tensor_ema_max_abs
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,34,34,34,35,0000000034.png,0000000035.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),35,0.0,0.9617882350979455,0.9216153364114398,0.2634416352034589,0.2634416352034589,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,35,35,35,36,0000000035.png,0000000036.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),36,0.0,0.9909146171340961,0.9359602875210298,0.26374776242649395,0.26374776242649395,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,36,36,36,37,0000000036.png,0000000037.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),37,0.0,1.012296180461192,0.9517618173596434,0.26676241594912686,0.26676241594912686,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,37,37,37,38,0000000037.png,0000000038.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),38,0.0,0.9586610890110393,0.9531899665914824,0.25907978066948983,0.25907978066948983,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,38,38,38,39,0000000038.png,0000000039.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),39,0.0,0.8597588115527887,0.9338497174984728,0.258476255410058,0.258476255410058,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,39,39,39,40,0000000039.png,0000000040.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),40,0.0,0.8889844742847068,0.9245626121532233,0.2540659035739743,0.2540659035739743,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,40,40,40,41,0000000040.png,0000000041.png,disturbance,0,True,1,0.0,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),41,0.0,0.9436880609258143,0.9285215800491496,0.23423567445465934,0.23423567445465934,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,41,41,41,42,0000000041.png,0000000042.png,disturbance,1,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),42,0.0,0.6939784979622398,0.8799711620571593,0.2283160487446646,0.2283160487446646,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,42,42,42,43,0000000042.png,0000000043.png,disturbance,2,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),43,0.0,0.7371545904106015,0.8504081317263219,0.23535400800898554,0.23535400800898554,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,43,43,43,44,0000000043.png,0000000044.png,disturbance,3,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),44,0.0,0.6628834073826395,0.8115905137871797,0.2334883927527582,0.2334883927527582,0.0
