split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,copy_mse,velocity_mse,oracle_translation_mse,copy_minus_velocity_mse,copy_minus_velocity_over_copy,copy_minus_oracle_mse,copy_minus_oracle_over_copy,adjacent_delta_cosine,oracle_shift_dy_cells,oracle_shift_dx_cells
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,99,0000000095.png,0000000096.png,0000000099.png,stage5,512,14,14,16,3,0.3105,0.3479911983013153,1.7211252450942993,0.2622050642967224,-1.3731340169906616,-3.9458870887756348,0.0857861340045929,0.2465181201696396,-0.033091314136981964,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,98,0000000092.png,0000000093.png,0000000098.png,stage5,512,14,14,16,5,0.5175,0.457600861787796,5.053077220916748,0.39120256900787354,-4.595476150512695,-10.042542457580566,0.06639829277992249,0.1451008915901184,0.00920947827398777,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,99,0000000093.png,0000000094.png,0000000099.png,stage5,512,14,14,16,5,0.5175,0.45505523681640625,4.372128009796143,0.4181201756000519,-3.9170727729797363,-8.607906341552734,0.03693506121635437,0.0811661034822464,-0.04373759776353836,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,100,0000000094.png,0000000095.png,0000000100.png,stage5,512,14,14,16,5,0.5175,0.475349485874176,5.15958309173584,0.4239642918109894,-4.684233665466309,-9.854293823242188,0.051385194063186646,0.10809981822967529,-0.09043610095977783,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,101,0000000095.png,0000000096.png,0000000101.png,stage5,512,14,14,16,5,0.5175,0.48023858666419983,4.355179786682129,0.4161101281642914,-3.874941110610962,-8.0687837600708,0.06412845849990845,0.13353458046913147,-0.033091314136981964,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,98,0000000096.png,0000000097.png,0000000098.png,stage3,256,56,56,4,1,0.1035,16.728116989135742,47.7783203125,16.122299194335938,-31.050203323364258,-1.856168508529663,0.6058177947998047,0.036215540021657944,-0.44539564847946167,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,99,0000000097.png,0000000098.png,0000000099.png,stage3,256,56,56,4,1,0.1035,17.09754180908203,49.11787414550781,16.4858341217041,-32.02033233642578,-1.8728033304214478,0.6117076873779297,0.03577752411365509,-0.45211610198020935,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,100,0000000098.png,0000000099.png,0000000100.png,stage3,256,56,56,4,1,0.1035,17.011062622070312,49.365238189697266,16.068452835083008,-32.35417556762695,-1.901949167251587,0.9426097869873047,0.055411577224731445,-0.44729721546173096,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,101,0000000099.png,0000000100.png,0000000101.png,stage3,256,56,56,4,1,0.1035,16.518953323364258,48.472999572753906,15.161752700805664,-31.95404624938965,-1.9343868494033813,1.3572006225585938,0.08216020464897156,-0.4457077980041504,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,99,0000000096.png,0000000097.png,0000000099.png,stage3,256,56,56,4,2,0.207,18.533447265625,116.12333679199219,18.430391311645508,-97.58988952636719,-5.265609264373779,0.10305595397949219,0.0055605387315154076,-0.44539564847946167,0,-1
