condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,3,0.6034776561139182,0.6587570230138843,6.52103328704834,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,4,1.0686766892926978,1.2223842620013412,11.716497421264648,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,5,0.6097610423639901,0.620162471968312,2.0377237796783447,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,1,0.7637912925817557,0.47465611679515324,0.8635737895965576,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,2,0.5672342719114338,0.42667434689535544,1.8658143281936646,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,3,0.5700611760178149,0.6129773838931648,6.429224491119385,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,4,0.9678547758527414,1.1366551893623393,11.539468765258789,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,5,0.5727921446376896,0.5926302616936658,2.028820276260376,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,1,0.7488989490343284,0.451273418661347,0.922173023223877,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,2,0.5617564625252884,0.440810303154213,1.9056062698364258,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,3,0.548520523523142,0.5714457460979299,6.48432731628418,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,4,0.8950472691275809,1.0506191160172464,11.557330131530762,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,5,0.5435007884508936,0.563746897634605,1.908373475074768,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,1,0.7725571452442455,0.4201502657238179,0.8809470534324646,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,2,0.5576793212678278,0.45164877523058883,1.9695645570755005,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,3,0.530839541446361,0.5353873746321296,6.640977382659912,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,4,0.844325411332684,0.9703171365693777,11.813112258911133,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,5,0.5202400742103307,0.5360867728341022,1.9659603834152222,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,1,0.7542432340638697,0.4049505793671254,0.8201775550842285,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,2,0.556641954037222,0.46022590799978347,2.0742108821868896,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,3,0.5121321152917806,0.5041779763647571,6.934186935424805,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,4,0.8065007080052802,0.8988026751116482,11.805413246154785,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,5,0.5007834988220913,0.5109943905091728,1.994512677192688,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,1,0.725732909103041,0.3955011327409163,0.7888571619987488,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,2,0.5650076081396872,0.4683452956712974,2.0896317958831787,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,3,0.5078820040362189,0.47861071692066137,6.946167945861816,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,4,0.7802311512069375,0.8374885858206396,11.741260528564453,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,5,0.48403319998612543,0.4888854825807972,1.8988248109817505,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,1,0.711798499346534,0.3875350152581728,0.7419679164886475,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,2,0.5670894750347748,0.4756638208665266,2.0771851539611816,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,3,0.5137088224157484,0.45992078081985494,6.90891695022583,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,4,0.765414489085778,0.7871685256987063,11.722367286682129,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,5,0.46963126147785694,0.4699934773493427,1.955582618713379,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,1,0.6909887927599997,0.3799074945107714,0.7184481024742126,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,2,0.5652734906896508,0.48173370832590834,2.0752501487731934,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,3,0.5183544345820444,0.44800435097398983,6.97894287109375,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,4,0.7568957279539593,0.747568727074283,11.534576416015625,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,5,0.45691112438427345,0.45399189176631105,1.8719096183776855,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,1,0.678321996345838,0.3681048701690285,0.7040107250213623,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,2,0.5653053853857809,0.48687874574864703,1.9834002256393433,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,3,0.5225651219192973,0.4414140605267598,6.649365425109863,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,4,0.7532368456116567,0.7178501417683284,10.69742202758789,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,5,0.4451856415010656,0.4401834192715821,1.6689529418945312,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,1,0.6721090450293861,0.3621822634916668,0.6898115873336792,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,2,0.562114628614657,0.49060916770480234,1.9710129499435425,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,3,0.5303847185167185,0.43919611376366974,6.621011257171631,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,4,0.7543299303435902,0.6968475645200615,10.760052680969238,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,5,0.43599879040534517,0.42828391761537876,1.6884233951568604,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,1,0.6652290404227774,0.35601320046619056,0.6666281819343567,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,2,0.5586438952205188,0.4930930124125887,1.9731731414794922,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,3,0.5371415517570259,0.44010808008886443,6.724099636077881,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,4,0.7582028581135949,0.683361916819796,10.814136505126953,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,5,0.43041923764185,0.41848426133755295,1.773242473602295,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,1,0.6540096387828004,0.3473366573021762,0.6333321332931519,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,2,0.5571098863305545,0.4946187403290856,1.9406388998031616,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,3,0.5439062423894525,0.4431179949796675,6.6406402587890625,0.0
